,Gen,Name,Wins,Loses,Draws
6,79,dArwIn_G79_3a,2,1,0
7,79,dArwIn_G79_3b,1,2,0
0,80,dArwIn_G80_0a,2,1,0
1,80,dArwIn_G80_0b,1,2,0
2,80,dArwIn_G80_1a,2,1,0
3,80,dArwIn_G80_1b,2,1,0
4,80,dArwIn_G80_2a,2,1,0
5,80,dArwIn_G80_2b,2,1,0
6,80,dArwIn_G80_3a,2,1,0
7,80,dArwIn_G80_3b,2,1,0
0,81,dArwIn_G81_0a,2,1,0
1,81,dArwIn_G81_0b,2,1,0
2,81,dArwIn_G81_1a,1,2,0
3,81,dArwIn_G81_1b,2,1,0
4,81,dArwIn_G81_2a,2,1,0
5,81,dArwIn_G81_2b,2,1,0
6,81,dArwIn_G81_3a,2,1,0
7,81,dArwIn_G81_3b,1,2,0
0,82,dArwIn_G82_0a,2,1,0
1,82,dArwIn_G82_0b,2,1,0
2,82,dArwIn_G82_1a,2,1,0
3,82,dArwIn_G82_1b,2,1,0
4,82,dArwIn_G82_2a,2,1,0
5,82,dArwIn_G82_2b,2,1,0
6,82,dArwIn_G82_3a,2,1,0
7,82,dArwIn_G82_3b,2,1,0
0,83,dArwIn_G83_0a,2,1,0
1,83,dArwIn_G83_0b,2,1,0
2,83,dArwIn_G83_1a,1,2,0
3,83,dArwIn_G83_1b,2,1,0
4,83,dArwIn_G83_2a,2,1,0
5,83,dArwIn_G83_2b,2,1,0
6,83,dArwIn_G83_3a,2,1,0
7,83,dArwIn_G83_3b,2,1,0
0,84,dArwIn_G84_0a,2,1,0
1,84,dArwIn_G84_0b,3,0,0
2,84,dArwIn_G84_1a,3,0,0
3,84,dArwIn_G84_1b,2,1,0
4,84,dArwIn_G84_2a,2,1,0
5,84,dArwIn_G84_2b,2,1,0
6,84,dArwIn_G84_3a,2,1,0
7,84,dArwIn_G84_3b,2,1,0
0,85,dArwIn_G85_0a,1,2,0
1,85,dArwIn_G85_0b,2,1,0
2,85,dArwIn_G85_1a,2,1,0
3,85,dArwIn_G85_1b,1,2,0
4,85,dArwIn_G85_2a,1,2,0
5,85,dArwIn_G85_2b,2,1,0
6,85,dArwIn_G85_3a,2,1,0
7,85,dArwIn_G85_3b,2,1,0
0,86,dArwIn_G86_0a,2,1,0
1,86,dArwIn_G86_0b,2,1,0
2,86,dArwIn_G86_1a,2,1,0
3,86,dArwIn_G86_1b,2,1,0
4,86,dArwIn_G86_2a,1,2,0
5,86,dArwIn_G86_2b,1,2,0
6,86,dArwIn_G86_3a,2,1,0
7,86,dArwIn_G86_3b,2,1,0
0,87,dArwIn_G87_0a,2,1,0
1,87,dArwIn_G87_0b,2,1,0
2,87,dArwIn_G87_1a,2,1,0
3,87,dArwIn_G87_1b,2,1,0
4,87,dArwIn_G87_2a,2,1,0
5,87,dArwIn_G87_2b,3,0,0
6,87,dArwIn_G87_3a,3,0,0
7,87,dArwIn_G87_3b,2,1,0
0,88,dArwIn_G88_0a,2,1,0
1,88,dArwIn_G88_0b,3,0,0
2,88,dArwIn_G88_1a,3,0,0
3,88,dArwIn_G88_1b,3,0,0
4,88,dArwIn_G88_2a,2,1,0
5,88,dArwIn_G88_2b,1,2,0
6,88,dArwIn_G88_3a,2,1,0
7,88,dArwIn_G88_3b,2,1,0
0,89,dArwIn_G89_0a,2,1,0
1,89,dArwIn_G89_0b,1,2,0
2,89,dArwIn_G89_1a,2,1,0
3,89,dArwIn_G89_1b,2,1,0
4,89,dArwIn_G89_2a,2,1,0
5,89,dArwIn_G89_2b,2,1,0
6,89,dArwIn_G89_3a,0,3,0
7,89,dArwIn_G89_3b,2,1,0
0,90,dArwIn_G90_0a,2,1,0
1,90,dArwIn_G90_0b,2,1,0
2,90,dArwIn_G90_1a,2,1,0
3,90,dArwIn_G90_1b,2,1,0
4,90,dArwIn_G90_2a,1,2,0
5,90,dArwIn_G90_2b,1,2,0
6,90,dArwIn_G90_3a,2,1,0
7,90,dArwIn_G90_3b,2,1,0
0,91,dArwIn_G91_0a,3,0,0
1,91,dArwIn_G91_0b,1,2,0
2,91,dArwIn_G91_1a,2,1,0
3,91,dArwIn_G91_1b,2,1,0
4,91,dArwIn_G91_2a,2,1,0
5,91,dArwIn_G91_2b,2,1,0
6,91,dArwIn_G91_3a,2,1,0
7,91,dArwIn_G91_3b,2,1,0
0,92,dArwIn_G92_0a,2,1,0
1,92,dArwIn_G92_0b,2,1,0
2,92,dArwIn_G92_1a,1,2,0
3,92,dArwIn_G92_1b,1,2,0
4,92,dArwIn_G92_2a,2,1,0
5,92,dArwIn_G92_2b,2,1,0
6,92,dArwIn_G92_3a,1,2,0
7,92,dArwIn_G92_3b,2,1,0
0,93,dArwIn_G93_0a,1,2,0
1,93,dArwIn_G93_0b,1,2,0
2,93,dArwIn_G93_1a,2,1,0
3,93,dArwIn_G93_1b,2,1,0
4,93,dArwIn_G93_2a,2,1,0
5,93,dArwIn_G93_2b,1,2,0
6,93,dArwIn_G93_3a,1,2,0
7,93,dArwIn_G93_3b,1,2,0
0,94,dArwIn_G94_0a,1,2,0
1,94,dArwIn_G94_0b,1,2,0
2,94,dArwIn_G94_1a,1,2,0
3,94,dArwIn_G94_1b,2,1,0
4,94,dArwIn_G94_2a,3,0,0
5,94,dArwIn_G94_2b,2,1,0
6,94,dArwIn_G94_3a,2,1,0
7,94,dArwIn_G94_3b,2,1,0
0,95,dArwIn_G95_0a,2,1,0
1,95,dArwIn_G95_0b,2,1,0
2,95,dArwIn_G95_1a,1,2,0
3,95,dArwIn_G95_1b,2,1,0
4,95,dArwIn_G95_2a,2,1,0
5,95,dArwIn_G95_2b,1,2,0
6,95,dArwIn_G95_3a,2,1,0
7,95,dArwIn_G95_3b,2,1,0
0,96,dArwIn_G96_0a,3,0,0
1,96,dArwIn_G96_0b,1,2,0
2,96,dArwIn_G96_1a,2,1,0
3,96,dArwIn_G96_1b,2,1,0
4,96,dArwIn_G96_2a,2,1,0
5,96,dArwIn_G96_2b,2,1,0
6,96,dArwIn_G96_3a,1,2,0
7,96,dArwIn_G96_3b,2,1,0
0,97,dArwIn_G97_0a,1,2,0
1,97,dArwIn_G97_0b,2,1,0
2,97,dArwIn_G97_1a,2,1,0
3,97,dArwIn_G97_1b,1,2,0
4,97,dArwIn_G97_2a,1,2,0
5,97,dArwIn_G97_2b,2,1,0
6,97,dArwIn_G97_3a,2,1,0
7,97,dArwIn_G97_3b,2,1,0
0,98,dArwIn_G98_0a,1,2,0
1,98,dArwIn_G98_0b,1,2,0
2,98,dArwIn_G98_1a,3,0,0
3,98,dArwIn_G98_1b,2,1,0
4,98,dArwIn_G98_2a,2,1,0
5,98,dArwIn_G98_2b,2,1,0
6,98,dArwIn_G98_3a,2,1,0
7,98,dArwIn_G98_3b,2,1,0
0,99,dArwIn_G99_0a,1,2,0
1,99,dArwIn_G99_0b,2,1,0
2,99,dArwIn_G99_1a,1,2,0
3,99,dArwIn_G99_1b,2,1,0
4,99,dArwIn_G99_2a,2,1,0
5,99,dArwIn_G99_2b,2,1,0
6,99,dArwIn_G99_3a,2,1,0
7,99,dArwIn_G99_3b,2,1,0
