,Gen,Name,Wins,Loses,Draws
0,19,dArwIn_G19_0a,2,1,0
1,19,dArwIn_G19_0b,2,1,0
2,19,dArwIn_G19_1a,1,2,0
3,19,dArwIn_G19_1b,2,1,0
4,19,dArwIn_G19_2a,2,1,0
5,19,dArwIn_G19_2b,2,1,0
6,19,dArwIn_G19_3a,2,1,0
7,19,dArwIn_G19_3b,1,2,0
0,20,dArwIn_G20_0a,2,1,0
1,20,dArwIn_G20_0b,2,1,0
2,20,dArwIn_G20_1a,1,2,0
3,20,dArwIn_G20_1b,1,2,0
4,20,dArwIn_G20_2a,2,1,0
5,20,dArwIn_G20_2b,2,1,0
6,20,dArwIn_G20_3a,1,2,0
7,20,dArwIn_G20_3b,2,1,0
0,21,dArwIn_G21_0a,2,1,0
1,21,dArwIn_G21_0b,2,1,0
2,21,dArwIn_G21_1a,2,1,0
3,21,dArwIn_G21_1b,2,1,0
4,21,dArwIn_G21_2a,2,1,0
5,21,dArwIn_G21_2b,2,1,0
6,21,dArwIn_G21_3a,2,1,0
7,21,dArwIn_G21_3b,1,2,0
0,22,dArwIn_G22_0a,1,2,0
1,22,dArwIn_G22_0b,1,2,0
2,22,dArwIn_G22_1a,1,2,0
3,22,dArwIn_G22_1b,2,1,0
4,22,dArwIn_G22_2a,2,1,0
5,22,dArwIn_G22_2b,2,1,0
6,22,dArwIn_G22_3a,2,1,0
7,22,dArwIn_G22_3b,2,1,0
0,23,dArwIn_G23_0a,1,2,0
1,23,dArwIn_G23_0b,1,2,0
2,23,dArwIn_G23_1a,1,2,0
3,23,dArwIn_G23_1b,2,1,0
4,23,dArwIn_G23_2a,2,1,0
5,23,dArwIn_G23_2b,1,2,0
6,23,dArwIn_G23_3a,2,1,0
7,23,dArwIn_G23_3b,1,2,0
0,24,dArwIn_G24_0a,2,1,0
1,24,dArwIn_G24_0b,1,2,0
2,24,dArwIn_G24_1a,2,1,0
3,24,dArwIn_G24_1b,2,1,0
4,24,dArwIn_G24_2a,2,1,0
5,24,dArwIn_G24_2b,2,1,0
6,24,dArwIn_G24_3a,1,2,0
7,24,dArwIn_G24_3b,0,3,0
0,25,dArwIn_G25_0a,1,2,0
1,25,dArwIn_G25_0b,2,1,0
2,25,dArwIn_G25_1a,2,1,0
3,25,dArwIn_G25_1b,2,1,0
4,25,dArwIn_G25_2a,0,3,0
5,25,dArwIn_G25_2b,2,1,0
6,25,dArwIn_G25_3a,1,2,0
7,25,dArwIn_G25_3b,2,1,0
0,26,dArwIn_G26_0a,1,2,0
1,26,dArwIn_G26_0b,2,1,0
2,26,dArwIn_G26_1a,2,1,0
3,26,dArwIn_G26_1b,1,2,0
4,26,dArwIn_G26_2a,2,1,0
5,26,dArwIn_G26_2b,2,1,0
6,26,dArwIn_G26_3a,1,2,0
7,26,dArwIn_G26_3b,2,1,0
0,27,dArwIn_G27_0a,2,1,0
1,27,dArwIn_G27_0b,2,1,0
2,27,dArwIn_G27_1a,2,1,0
3,27,dArwIn_G27_1b,3,0,0
4,27,dArwIn_G27_2a,2,1,0
5,27,dArwIn_G27_2b,2,1,0
6,27,dArwIn_G27_3a,2,1,0
7,27,dArwIn_G27_3b,1,2,0
0,28,dArwIn_G28_0a,2,1,0
1,28,dArwIn_G28_0b,2,1,0
2,28,dArwIn_G28_1a,2,1,0
3,28,dArwIn_G28_1b,2,1,0
4,28,dArwIn_G28_2a,1,2,0
5,28,dArwIn_G28_2b,1,2,0
6,28,dArwIn_G28_3a,1,2,0
7,28,dArwIn_G28_3b,2,1,0
0,29,dArwIn_G29_0a,2,1,0
1,29,dArwIn_G29_0b,1,2,0
2,29,dArwIn_G29_1a,1,2,0
3,29,dArwIn_G29_1b,3,0,0
4,29,dArwIn_G29_2a,2,1,0
5,29,dArwIn_G29_2b,2,1,0
6,29,dArwIn_G29_3a,2,1,0
7,29,dArwIn_G29_3b,1,2,0
0,30,dArwIn_G30_0a,1,2,0
1,30,dArwIn_G30_0b,1,2,0
2,30,dArwIn_G30_1a,1,2,0
3,30,dArwIn_G30_1b,2,1,0
4,30,dArwIn_G30_2a,2,1,0
5,30,dArwIn_G30_2b,2,1,0
6,30,dArwIn_G30_3a,2,1,0
7,30,dArwIn_G30_3b,2,1,0
0,31,dArwIn_G31_0a,2,1,0
1,31,dArwIn_G31_0b,2,1,0
2,31,dArwIn_G31_1a,1,2,0
3,31,dArwIn_G31_1b,2,1,0
4,31,dArwIn_G31_2a,2,1,0
5,31,dArwIn_G31_2b,2,1,0
6,31,dArwIn_G31_3a,1,2,0
7,31,dArwIn_G31_3b,2,1,0
0,32,dArwIn_G32_0a,2,1,0
1,32,dArwIn_G32_0b,1,2,0
2,32,dArwIn_G32_1a,1,2,0
3,32,dArwIn_G32_1b,1,2,0
4,32,dArwIn_G32_2a,1,2,0
5,32,dArwIn_G32_2b,2,1,0
6,32,dArwIn_G32_3a,2,1,0
7,32,dArwIn_G32_3b,2,1,0
0,33,dArwIn_G33_0a,3,0,0
1,33,dArwIn_G33_0b,2,1,0
2,33,dArwIn_G33_1a,2,1,0
3,33,dArwIn_G33_1b,2,1,0
4,33,dArwIn_G33_2a,2,1,0
5,33,dArwIn_G33_2b,2,1,0
6,33,dArwIn_G33_3a,1,2,0
7,33,dArwIn_G33_3b,2,1,0
0,34,dArwIn_G34_0a,2,1,0
1,34,dArwIn_G34_0b,3,0,0
2,34,dArwIn_G34_1a,2,1,0
3,34,dArwIn_G34_1b,2,1,0
4,34,dArwIn_G34_2a,2,1,0
5,34,dArwIn_G34_2b,3,0,0
6,34,dArwIn_G34_3a,2,1,0
7,34,dArwIn_G34_3b,2,1,0
0,35,dArwIn_G35_0a,1,2,0
1,35,dArwIn_G35_0b,2,1,0
2,35,dArwIn_G35_1a,2,1,0
3,35,dArwIn_G35_1b,2,1,0
4,35,dArwIn_G35_2a,2,1,0
5,35,dArwIn_G35_2b,3,0,0
6,35,dArwIn_G35_3a,2,1,0
7,35,dArwIn_G35_3b,2,1,0
0,36,dArwIn_G36_0a,2,1,0
1,36,dArwIn_G36_0b,2,1,0
2,36,dArwIn_G36_1a,3,0,0
3,36,dArwIn_G36_1b,1,2,0
4,36,dArwIn_G36_2a,2,1,0
5,36,dArwIn_G36_2b,2,1,0
6,36,dArwIn_G36_3a,1,2,0
7,36,dArwIn_G36_3b,1,2,0
0,37,dArwIn_G37_0a,2,1,0
1,37,dArwIn_G37_0b,2,1,0
2,37,dArwIn_G37_1a,2,1,0
3,37,dArwIn_G37_1b,2,1,0
4,37,dArwIn_G37_2a,2,1,0
5,37,dArwIn_G37_2b,2,1,0
6,37,dArwIn_G37_3a,2,1,0
